Longueur, Séquence avec copie, Séquence sans copie, Ecart-type copie, Ecart-type sans copie
1,8.94085,8.22113,1.21379,1.75297
2,23.5732,15.9391,6.76853,2.33374
3,37.4027,24.3636,2.99529,6.50709
4,47.8193,32.8778,8.56201,6.91663
5,62.8955,40.0608,13.5327,4.25071
6,72.9111,47.9966,15.0778,4.13702
7,88.4982,57.3745,11.5167,9.35299
8,98.281,62.2809,11.8294,8.60697
9,111.138,68.2694,3.96621,7.33212
10,120.256,78.097,2.84131,3.10006
11,135.871,83.8947,4.45449,7.35712
12,146.564,92.1348,7.07249,8.78943
13,162.101,105.326,8.60035,14.8769
14,173.705,112.203,11.6291,10.9356
15,187.799,117.551,17.5942,8.57824
16,197.107,126.692,12.8504,12.7817
17,214.889,130.62,15.7056,12.2769
18,225.784,136.945,21.1989,17.5786
19,247.86,143.426,33.6582,12.7191
