Taille, Miniseq, Ecart-type copie, Miniseq-io, Ecart-type copie, AFF3CT-io, AFF3CT
2048,5.0334,0.0752134,3.5048,0.0161046,20.6551,26.298
22048,49.3032,0.0727752,58.8812,2.12847,168.291,231.641
42048,98.6426,0.342412,94.6012,11.1384,318.895,439.953
62048,96.6948,1.88123,127.762,0.217007,477.518,646.186
82048,134.554,4.53002,170.523,0.369425,661.477,990
102048,206.771,53.3365,203.3,19.0923,782.205,1076.73
122048,237.698,41.5156,167.1,2.19122,935.792,1266.12
142048,325.22,59.3119,197.27,2.71669,1093.17,1486.01
162048,482.417,74.3864,224.214,0.15922,1286.03,1901.23
182048,671.117,66.9071,255.187,1.21001,1402.29,1929.2
202048,945.287,55.7057,286.771,2.07561,1552.73,2111.13
222048,1231.68,70.061,315.375,6.05526,1696.73,2311.91
242048,1500.25,38.0802,342.298,1.30186,1861.08,2537.51
262048,2057.11,186.708,371.639,1.75134,2015.04,2802.99
282048,2078.26,30.5855,406.938,1.67571,2163.18,2950.51
302048,2293.37,23.5365,440.481,5.97895,2329,3253.27
322048,2555,90.149,461.177,0.564686,2511.97,3463.88
342048,2674.58,41.3629,490.314,5.70627,2716.51,3746.6
362048,2877.27,43.4558,533.398,20.4807,2818.14,4016.29
382048,3081.29,38.5278,552.746,2.95554,2958.1,4110.18
402048,3217.49,27.6723,586.426,2.07089,3128.27,4395.97
422048,3409.03,56.723,612.547,2.27216,3279.94,4643.6
442048,3608.25,80.2671,641.446,2.85467,3561.99,5332.58
462048,3701.7,9.23225,677.49,14.896,3627,5220.98
482048,3858.88,28.8958,701.746,4.52841,3777.27,5437.02
502048,4042.76,32.8221,725.018,1.09673,3933.78,5524.13
522048,4375.77,115.474,781.724,18.9559,4115.06,5669.93
542048,4491.74,67.6505,789.302,5.50984,4257.18,5892.87
562048,4840.8,179.139,838.473,36.2456,4406.5,6003.86
582048,4796.85,43.8186,855.82,8.89928,4599.55,6282.99
602048,5060.77,193.373,886.105,2.73013,4711.16,6448.17
622048,5119.35,40.2061,921.522,10.8504,4958.72,7114.57
642048,5219.53,51.7653,936.815,3.09309,5140.29,7513.31
