Tâche, Miniseq homogène, Miniseq hybride, AFF3CT-hybride, AFF3CT
1,2535.31,2537.64,2794.29,2791.98
2,2508.56,2507.09,2832,2805.57
3,2506.1,2519.99,2958.55,2808.8
4,2500.33,2491.29,2906,2799.75
5,2473.36,2485.06,2849.51,2802.2
6,2480.23,2518.95,2834.83,2826.52
7,2476.52,2534.8,2841.17,2810.11
8,2465.07,2535.91,2838.02,2800.01
9,2520.6,2506.43,2837.71,2802.66
10,2614.76,2526.16,2835.12,2807.89
11,2575.45,1517.4,1620.97,2849.92
12,2571.24,1663.73,1637.59,2883.17
13,2489.69,1543.86,1728.5,2943.47
14,2480.45,1494.18,1663,2885.78
15,2499.82,1509.33,1809.77,2878.09
16,2526.62,1541.39,1609.43,2886.16
17,2529.74,1476.94,1436.98,2901.52
18,2474.04,1453.13,1666.67,2878.81
19,2484.18,1431.29,1619.06,2877.87
20,2481.03,1454.21,1609.35,2880.51
21,2526.61,2794.89,2728.33,2730.28
22,2499.34,2513.07,2978.2,2864.84
23,2511.79,2575.6,2906.95,2885.1
24,2531.17,2505.4,2907.32,2904.39
25,2530.86,2500.04,2902.86,2899.18
26,2506.22,2503.3,2916.06,2878.65
27,2533.51,2547.34,2906.47,2870.02
28,2505.31,2536.15,2902.14,2875.64
29,2526.93,2532.24,2906.7,2897.23
30,2502.27,2533.24,2926.09,2879.41
