size,tempsCopy,tempsSansCopy
100,0.0162045,0.0149139
200,0.0319198,0.029261
300,0.0447109,0.0415491
400,0.0581563,0.0537791
500,0.0730081,0.052169
600,0.0675349,0.0599486
700,0.0762873,0.0686469
800,0.106019,0.11359
900,0.143395,0.132205
1000,0.123182,0.108139
1100,0.126142,0.113065
1200,0.134355,0.120337
1300,0.144128,0.175885
1400,0.208961,0.160372
1500,0.163303,0.149079
1600,0.172718,0.152514
1700,0.207729,0.185932
1800,0.215191,0.192417
1900,0.225282,0.202561
2000,0.236721,0.209017
2100,0.24781,0.217041
2200,0.2535,0.228359
2300,0.265695,0.233181
2400,0.274647,0.242371
2500,0.284363,0.250275
2600,0.291855,0.2664
2700,0.303562,0.266046
2800,0.314111,0.273585
2900,0.316849,0.282289
3000,0.327153,0.293702
3100,0.335532,0.298829
3200,0.34826,0.305862
3300,0.408768,0.370195
3400,0.415034,0.368197
3500,0.424613,0.376792
3600,0.434309,0.386455
3700,0.443437,0.393053
3800,0.451444,0.402116
3900,0.46293,0.411823
4000,0.475791,0.415505
4100,0.483758,0.425166
4200,0.488969,0.434643
4300,0.499523,0.439857
4400,0.514492,0.450308
4500,0.516597,0.457165
4600,0.528343,0.466491
4700,0.539212,0.47221
4800,0.551118,0.482232
4900,0.558137,0.490117
5000,0.56524,0.499463
5100,0.579309,0.504926
5200,0.585159,0.512058
5300,0.600892,0.521621
5400,0.598863,0.532124
5500,0.612193,0.53515
5600,0.625305,0.546229
5700,0.629983,0.553746
5800,0.644833,0.564469
5900,0.650762,0.572343
6000,0.655954,0.578338
6100,0.669713,0.58683
6200,0.677732,0.593035
6300,0.685575,0.900716
6400,0.72821,0.622004
6500,0.718888,0.781786
6600,0.826876,0.742324
6700,0.82602,0.725905
6800,0.829533,0.735772
6900,0.844691,0.742158
7000,0.864861,0.744258
7100,0.855851,0.769671
7200,0.8686,0.767698
7300,0.875207,0.776808
7400,0.88352,0.787936
7500,0.894624,0.791009
7600,0.908564,0.80129
7700,0.920698,0.807459
7800,0.991254,0.826706
7900,0.938469,0.824874
8000,0.945332,0.832429
8100,0.958599,0.841423
8200,0.96874,0.8478
8300,0.966654,0.854732
8400,0.987786,0.863334
8500,0.993671,0.87493
8600,1.00705,0.880508
8700,1.00805,0.889328
8800,1.02348,0.901986
8900,1.02671,0.914872
9000,1.04939,0.920621
9100,1.06799,0.930481
9200,1.20982,0.933249
9300,1.0597,0.940026
9400,1.06598,0.94847
9500,1.09406,0.953668
9600,1.08553,0.97432
9700,1.10593,0.969103
9800,1.11246,0.976081
9900,1.11688,0.9896
